time_days,grat_truth_day,grat_matched_day,orat_truth_day,orat_matched_day,wrat_truth_day,wrat_matched_day
1733.0,4.179810463707261e6,4.155970338141699e6,2410.6260457659805,2376.6849689672435,4.116151158092137e-6,4.94267114462495e-6
1764.0,4.128508383099497e6,4.1058512254065485e6,2339.36924685036,2314.031836049221,4.509038997042556e-6,5.30014257247512e-6
1794.0,4.0876186212531123e6,4.0690740766140996e6,2278.6463675508307,2261.394401787013,4.874008068615658e-6,5.644678023199437e-6
1825.0,4.053726058422236e6,4.02878369283056e6,2222.69722708415,2211.547069079962,5.2402038235020875e-6,5.978402361832385e-6
1856.0,4.0190853878180776e6,3.9876817526928536e6,2171.165743932853,2165.443607385718,5.576389631725256e-6,6.287179149763477e-6
1884.0,3.9891162656916394e6,3.9509957842966486e6,2127.365909897886,2126.39461017027,5.856122148215396e-6,6.54603663303361e-6
1915.0,3.956270504913377e6,3.9119192543772054e6,2081.663400735794,2085.784364743462,6.1442241773865955e-6,6.810373878683128e-6
1945.0,3.9248214141574493e6,3.8758929704965274e6,2040.2358907327464,2048.542094782012,6.402324445454862e-6,7.046915269925368e-6
1976.0,3.8928970524582933e6,3.839206083098267e6,1999.7690911318393,2011.7606300960138,6.650601172612525e-6,7.272436470349379e-6
2006.0,3.862572955599397e6,3.8002771865128097e6,1962.5939472942202,1979.936450349391,6.874992586933876e-6,7.470752484292157e-6
2037.0,3.825953291408337e6,3.7649508183153127e6,1928.7966174041405,1947.988670842336,7.088338999778793e-6,7.658563363581168e-6
2068.0,3.790332154974679e6,3.735292414332893e6,1895.8699968014648,1916.2698882811237,7.285051064641472e-6,7.831256304478694e-6
2098.0,3.7587347153070625e6,3.7101293802525103e6,1865.7116733801295,1885.8542418827376,7.459394528594241e-6,7.987582686045669e-6
2129.0,3.728462680904707e6,3.693322534147459e6,1835.439662762536,1852.755887266299,7.6280411945401925e-6,8.136073041099163e-6
2159.0,3.7085942971880566e6,3.685205878344946e6,1803.7545603568014,1818.5560082063434,7.780166181329882e-6,8.270868718491698e-6
2190.0,3.6953560555836246e6,3.674956183012974e6,1768.9154185107245,1784.956996542147,7.929164525401545e-6,8.404238575029164e-6
2221.0,3.680528088060979e6,3.6618090445228457e6,1735.9055501070322,1753.8631465611595,8.071059577136642e-6,8.530866679286351e-6
2249.0,3.6646756450217706e6,3.648622976207254e6,1708.5826086656384,1727.90002858592,8.191897322415646e-6,8.63790292485142e-6
2280.0,3.6423972613692307e6,3.633453488946861e6,1682.1375804121346,1700.7754818374744,8.317522694804906e-6,8.749613065853992e-6
2310.0,3.618497372600254e6,3.6184885057434323e6,1659.6063501763065,1675.705420178478,8.429996831710141e-6,8.85213617997212e-6
2341.0,3.5946413224338708e6,3.604350585995198e6,1638.17776644836,1650.5495512910243,8.536494247498816e-6,8.951589972375937e-6
2371.0,3.573625820633031e6,3.5843205701893317e6,1618.2991026773527,1630.5708406595043,8.631638532894939e-6,9.04166549464865e-6
2402.0,3.5543485686713886e6,3.5685677646081606e6,1598.3232824072138,1608.4596993233974,8.722675338414096e-6,9.13026506082677e-6
2433.0,3.5332952139390158e6,3.5538005167499613e6,1581.270186150213,1586.2448589793148,8.805570982423663e-6,9.215960119711448e-6
2463.0,3.518301261430005e6,3.5385878573267446e6,1563.1804576267439,1565.8488190153162,8.881466881002292e-6,9.295252069198332e-6
2494.0,3.507348686774812e6,3.5225704474847172e6,1542.7127943857156,1545.8382010278556,8.957373528199447e-6,9.372882678977062e-6
2524.0,3.497117213959274e6,3.517454965727283e6,1522.8282836623891,1522.71233233437,9.029181589749271e-6,9.443308149415565e-6
2555.0,3.484682172680584e6,3.5144759002755014e6,1503.4805197813425,1497.3905382110288,9.101059231065458e-6,9.515457097030532e-6
2586.0,3.472864247379453e6,3.5109253831171314e6,1484.3026830522958,1472.9167927091305,9.170244005798443e-6,9.584498858251606e-6
2614.0,3.4722081976885223e6,3.505549263414748e6,1463.7703118204831,1452.858433560752,9.227416507463533e-6,9.642921033146953e-6
2645.0,3.4754921841092473e6,3.498061724301096e6,1439.1369890613432,1432.7118100848895,9.289576297861808e-6,9.702910040322833e-6
2675.0,3.477746624449493e6,3.4905141221769257e6,1415.5427746209905,1414.2377802108094,9.349064492013475e-6,9.75758608947338e-6
2706.0,3.476254842804422e6,3.483497833744902e6,1393.2382378614172,1395.8095154452142,9.408608993788289e-6,9.810432013145092e-6
2736.0,3.4724651243362506e6,3.479598815737872e6,1373.7892087419157,1377.9723398904466,9.462482100995144e-6,9.857313222937915e-6
2767.0,3.4688592143604076e6,3.4769444124802067e6,1354.8459603531853,1359.1790974958665,9.513839988556178e-6,9.904138884739259e-6
2798.0,3.4692861520994543e6,3.4775178166662636e6,1335.4195557263552,1340.1087297377505,9.560750006112625e-6,9.947182501034499e-6
2828.0,3.4704749172916207e6,3.4819032186885774e6,1316.6828130813362,1320.760242517507,9.604288884723578e-6,9.985988021443042e-6
2859.0,3.472001165114199e6,3.4976032888635807e6,1297.7117592706436,1296.7788288582797,9.647210872962895e-6,1.002247912886782e-5
2889.0,3.472913009778963e6,3.5113487777258405e6,1280.140989048109,1272.8502609680631,9.686793968313067e-6,1.0060181707154279e-5
2920.0,3.474966921564944e6,3.5211098031896483e6,1262.5888830615559,1249.6384575822353,9.724408275152352e-6,1.0099613644823194e-5
2951.0,3.4784075687033804e6,3.5272275252172565e6,1244.9369728753734,1228.3738037869696,9.76012207395556e-6,1.0137758279608717e-5
2979.0,3.4819384583931114e6,3.5311896865293267e6,1229.0212129799986,1210.5589030127132,9.791342468061036e-6,1.0170196357421141e-5
3010.0,3.4862740375174712e6,3.5345587787781637e6,1211.9243506476726,1191.606823273925,9.823773869633401e-6,1.0204817038702559e-5
3040.0,3.4911464419529405e6,3.5372810516643478e6,1195.8462058228088,1173.8111590832145,9.85296894113005e-6,1.0237058091080334e-5
3071.0,3.4970273184379977e6,3.540079669031466e6,1179.4574571549958,1156.1940596775255,9.881345530290922e-6,1.026822158642217e-5
3101.0,3.5038451337393583e6,3.542682652718126e6,1163.4295597896164,1139.815703555403,9.9076190977368e-6,1.029660420895353e-5
