time_days,grat_truth_day,grat_matched_day,orat_truth_day,orat_matched_day,wrat_truth_day,wrat_matched_day
1095.0,743729.2963396559,740678.3024988001,3179.74589856,3179.74589856,2.815944669524653e-18,0.0
1126.0,763749.9369152543,757852.7975504173,3179.74589856,3179.74589856,0.0,0.0
1154.0,787377.7699372503,782932.160887214,3179.74589856,3179.74589856,0.0,1.143912256798598e-17
1185.0,830991.1419007634,818321.6334736295,3179.74589856,3179.74589856,0.0,0.0
1215.0,874906.8142085647,874112.3315608201,3179.74589856,3179.74589856,0.0,0.0
1246.0,1.0520979768635666e6,1.0718924078833263e6,3179.74589856,3179.74589856,1.2071198583436026e-18,9.155699673834598e-18
1276.0,1.3393006677130351e6,1.5389514203206846e6,3179.74589856,3179.74589856,3.3679454061996896e-19,5.581653442422151e-17
1307.0,2.214161819761661e6,2.8168024767780392e6,3179.74589856,3179.74589856,4.472919394357953e-24,0.0
1338.0,2.9823140211277176e6,3.366193752208133e6,3179.74589856,3179.74589856,6.11665522841215e-29,0.0
1368.0,3.280012535602033e6,3.4805601093076165e6,3179.74589856,3179.74589856,5.505031252466545e-34,0.0
1399.0,3.575430596102852e6,3.6927200013315347e6,3179.74589856,3179.74589856,3.9261766896277005e-39,0.0
1429.0,3.89241404132386e6,3.9737686369666597e6,3179.74589856,3179.74589856,2.3579758294910217e-44,0.0
1460.0,4.1821423334143064e6,4.289918945111604e6,3179.74589856,3179.74589856,1.0788663561679231e-49,0.0
1491.0,4.430810972833338e6,4.524667207456956e6,3179.74589856,3156.721515780703,3.7884047286095806e-55,1.0848506318002339e-6
1519.0,4.530736671710065e6,4.44952002653411e6,3137.2644615097024,3045.9049345847425,3.8611947730241276e-7,1.7682036886951706e-6
1550.0,4.457744146469193e6,4.401453993599734e6,3015.1630809822836,2926.0054770078773,1.1149766560707628e-6,2.3513956577188335e-6
1580.0,4.4204374491066e6,4.3607518332617525e6,2888.8741687076094,2813.1134579750833,1.6881519902349872e-6,2.869551152456174e-6
1611.0,4.381445040790046e6,4.316132415311726e6,2765.4131664737806,2705.7995729882,2.24683641158351e-6,3.3742616996045538e-6
1641.0,4.334866077914864e6,4.270126407272384e6,2663.954659109699,2612.314578381619,2.7548072610158732e-6,3.831148164620744e-6
1672.0,4.283211622904588e6,4.221173965273557e6,2570.526393935444,2524.842422093,3.2465587526196066e-6,4.270697333153916e-6
1703.0,4.230530107532732e6,4.1695082095119837e6,2485.6933346631113,2450.6596802316385,3.7047828740230016e-6,4.6716855630628515e-6
1733.0,4.179810463707261e6,4.121748088467218e6,2410.6260457659805,2382.206714146404,4.116151158092137e-6,5.033242270361507e-6
1764.0,4.128508383099497e6,4.074163378863541e6,2339.36924685036,2315.1899669910217,4.509038997042556e-6,5.381717217895175e-6
1794.0,4.0876186212531123e6,4.038988070121018e6,2278.6463675508307,2257.8422019406635,4.874008068615658e-6,5.7158294031142084e-6
1825.0,4.053726058422236e6,4.0134532451975914e6,2222.69722708415,2200.8073529776952,5.2402038235020875e-6,6.048856740106935e-6
1856.0,4.0190853878180776e6,3.986442256530305e6,2171.165743932853,2147.2514872217,5.576389631725256e-6,6.359532480079244e-6
1884.0,3.9891162656916394e6,3.959247144725777e6,2127.365909897886,2102.450038238999,5.856122148215396e-6,6.6223608328940845e-6
1915.0,3.956270504913377e6,3.92748663917212e6,2081.663400735794,2056.8515540491558,6.1442241773865955e-6,6.891316871728525e-6
1945.0,3.9248214141574493e6,3.896433812607488e6,2040.2358907327464,2015.7780520574104,6.402324445454862e-6,7.132001188883288e-6
1976.0,3.8928970524582933e6,3.864687970671363e6,1999.7690911318393,1974.0630101445472,6.650601172612525e-6,7.361471591800513e-6
2006.0,3.862572955599397e6,3.8347154875113247e6,1962.5939472942202,1936.5760799263278,6.874992586933876e-6,7.5632989981989e-6
2037.0,3.825953291408337e6,3.805151753463719e6,1928.7966174041405,1900.2229457272838,7.088338999778793e-6,7.755305499165591e-6
2068.0,3.790332154974679e6,3.776580027315597e6,1895.8699968014648,1865.6503530205237,7.285051064641472e-6,7.934376448872448e-6
2098.0,3.7587347153070625e6,3.749687551060937e6,1865.7116733801295,1834.5312082936325,7.459394528594241e-6,8.093852124590963e-6
2129.0,3.728462680904707e6,3.722009943693448e6,1835.439662762536,1804.1573919600567,7.6280411945401925e-6,8.248351296975206e-6
2159.0,3.7085942971880566e6,3.692641696362923e6,1803.7545603568014,1778.1891245530294,7.780166181329882e-6,8.386796745075459e-6
2190.0,3.6953560555836246e6,3.660710757066203e6,1768.9154185107245,1754.6568408828527,7.929164525401545e-6,8.518001543017984e-6
2221.0,3.680528088060979e6,3.633808257004208e6,1735.9055501070322,1730.8801144259007,8.071059577136642e-6,8.639268788244174e-6
2249.0,3.6646756450217706e6,3.6145353621901646e6,1708.5826086656384,1708.6971014217272,8.191897322415646e-6,8.74114818498345e-6
2280.0,3.6423972613692307e6,3.5968513018810246e6,1682.1375804121346,1683.885884380545,8.317522694804906e-6,8.84697789023971e-6
2310.0,3.618497372600254e6,3.5857473026469634e6,1659.6063501763065,1658.140946284496,8.429996831710141e-6,8.943838959492288e-6
2341.0,3.5946413224338708e6,3.5676723624614323e6,1638.17776644836,1635.0539974823798,8.536494247498816e-6,9.040598145788277e-6
2371.0,3.573625820633031e6,3.549335008603501e6,1618.2991026773527,1613.4625951794458,8.631638532894939e-6,9.131189940947012e-6
2402.0,3.5543485686713886e6,3.5302066743773287e6,1598.3232824072138,1592.373718648037,8.722675338414096e-6,9.219463081792011e-6
2433.0,3.5332952139390158e6,3.510037438195652e6,1581.270186150213,1573.6396517376227,8.805570982423663e-6,9.30050601596728e-6
