# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,hierarchical clustering — refinement 1
hierarchical clustering — refinement 3,18,8.0643643544621979e-01,4.2786273846005932e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,19,8.0641052187656403e-01,2.1764060649221290e-02,1.0089188173754482e+00,5.0000000000000000e+00,-2.0000000000000000e+00
hierarchical clustering — refinement 3,20,8.0641052187656403e-01,2.5649824632970896e-02,1.4008595002871692e-10,5.0000000000000000e+00,-2.0000000000000000e+00
hierarchical clustering — refinement 3,summary,8.0641052187656403e-01,2.5649824632970896e-02,0.0000000000000000e+00,0.0000000000000000e+00,|Δloss| 0.000e+00 < obj_change_tol 1.000e-06
# section,hierarchical clustering — refinement 4
hierarchical clustering — refinement 4,0,2.6037666836771672e-01,4.4901869930688559e-01,NaN,NaN,NaN
hierarchical clustering — refinement 4,1,5.2120596172310622e-02,3.7690093955260590e-01,7.5576898175136407e+00,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,2,4.9394587049971364e-02,8.6454397785583684e-02,3.7423965106673163e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,3,4.5146505485464658e-02,7.7569929879168942e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,4,4.4219751225574318e-02,6.7588461102559880e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,5,4.4130880179318752e-02,1.2314334331905027e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,6,4.4123214445099875e-02,4.4056258021041208e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,7,4.4091078496789192e-02,2.2858351267082848e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,8,4.4043962755764339e-02,1.1652397112559408e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,9,4.3848923447788679e-02,4.5122575408117283e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,10,4.3675381194314314e-02,1.8464159730326606e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,11,4.3248586187055453e-02,1.9146036261224828e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,12,4.3236095652591844e-02,8.5522279827534159e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,13,4.3235204803775643e-02,8.4185472170377189e-04,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 4,summary,4.3235204803775643e-02,8.4185472170377189e-04,8.9084881620127288e-07,2.0604709061618158e-05,|Δloss| 8.908e-07 < obj_change_tol 1.000e-06
# section,hierarchical clustering — refinement 5
hierarchical clustering — refinement 5,0,2.7926704000846042e-01,5.0752522574331094e-01,NaN,NaN,NaN
hierarchical clustering — refinement 5,1,2.4799052578810077e-01,3.9295002055154465e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,2,8.3918302533320110e-02,3.1417904937012192e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,3,3.6541516273256427e-02,1.3244328342992076e-01,1.0000000000000000e+00,1.0000000000000000e+00,-1.0000000000000000e+00
hierarchical clustering — refinement 5,4,1.2740017709312041e-02,1.0926767370499176e-01,1.0000000000000000e+01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,5,1.1871316620728120e-02,1.4022637355627460e-01,1.8549750833182603e-02,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,6,8.7240311848094613e-03,1.1559011763921910e-01,1.8870341739162097e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,7,8.5209168266483330e-03,5.7352905404426391e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
