# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,sign_cons — refinement 1
sign_cons — refinement 1,0,7.6855493131697896e+00,1.4500000000000000e+00,NaN,NaN,NaN
sign_cons — refinement 4,9,4.5744513498855492e-02,9.2908296921549491e-02,2.7739406562401958e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 4,10,4.5650749900420819e-02,7.7029236402862772e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 4,11,4.5641730425768613e-02,5.1378731004156956e-02,4.9376906469999027e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 4,12,4.5626454021351903e-02,3.2693719470730027e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 4,13,4.5610285196428541e-02,1.4181682727796775e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 4,14,4.5608969301728808e-02,9.3268708620420707e-03,3.4237882809958231e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 4,15,4.5607998873698326e-02,9.9533612527782801e-03,2.1733881362709812e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 4,summary,4.5607998873698326e-02,9.9533612527782801e-03,9.7042803048202897e-07,2.1277584074000339e-05,|Δloss| 9.704e-07 < obj_change_tol 1.000e-06
# section,sign_cons — refinement 5
sign_cons — refinement 5,0,2.6516392411448259e-01,7.1055036185083165e-01,NaN,NaN,NaN
sign_cons — refinement 5,1,2.4676396096720929e-01,5.0517072720908507e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,2,2.4384957269648294e-01,1.5792105482949286e+00,1.6197286478536846e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,3,2.4066533700938575e-01,1.4196254614274129e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,4,2.2925565296733430e-01,1.3101837578792410e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,5,2.1661694620605301e-01,1.2020094073718404e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,6,1.9117414501032992e-01,9.4880557418245337e-01,6.2330270093554208e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,7,1.8074278583029962e-01,1.8622349144509465e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
