# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,medium_uncons — refinement 1
medium_uncons — refinement 1,0,7.6855493131697896e+00,1.4500000000000000e+00,NaN,NaN,NaN
medium_uncons — refinement 3,9,1.8802723132038218e-02,5.1064713168095473e-02,4.7056765767917141e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,10,1.8614989584626335e-02,2.9710198408725286e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,11,1.8301164332807512e-02,3.1554841904680796e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,12,1.7342427764281635e-02,2.9322632716126271e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,13,1.6683740420630779e-02,7.4474788557450947e-02,3.6208409365522104e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,14,1.6650034233069794e-02,7.2301309926289400e-02,3.6238530571950658e-02,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,15,1.6450995038579858e-02,3.7100752589341063e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,16,1.6367034705195772e-02,2.6417494010092826e-02,5.7645254671370683e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,17,1.6334096165367653e-02,1.4956895008299290e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,18,1.6332559286806825e-02,3.3286213225599691e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,19,1.6332467303967896e-02,2.9626503483021216e-04,4.6689879797096295e-02,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,summary,1.6332467303967896e-02,2.9626503483021216e-04,9.1982838928972299e-08,5.6319009992216856e-06,|Δloss| 9.198e-08 < obj_change_tol 1.000e-06
# section,medium_uncons — refinement 4
medium_uncons — refinement 4,0,9.3937637625615994e-02,3.7725714086162104e-01,NaN,NaN,NaN
medium_uncons — refinement 4,1,8.6060455243742770e-02,1.6050077567055313e-01,3.3724597415231250e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,2,7.4067626709124729e-02,7.9306768670105643e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,3,4.9849082728278621e-02,7.4782915307027353e-01,5.6251189612908148e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,4,4.6950324214269264e-02,2.3160006155569823e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,5,4.4234591888471508e-02,1.5186646686649558e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,6,4.0501020073666794e-02,2.0229390771240105e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,7,3.9988502491584886e-02,1.5525107895658105e-01,2.3544769911748648e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,8,3.9613970276148464e-02,1.0663172499324824e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,9,3.8006606711045950e-02,8.8128852100551366e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,10,3.6186681861828336e-02,1.3219602842166583e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,11,3.3779558694058874e-02,2.0263567097334206e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,12,3.0572165387541893e-02,3.9388514686623194e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,13,2.8964359331185678e-02,2.6852779628081530e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,14,2.8611213129219475e-02,1.1010511844838763e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,15,2.8243054098270833e-02,5.5759102451042458e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,16,2.8071576483238582e-02,4.4692017701178102e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,17,2.8035002325545271e-02,2.7927990127124231e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,18,2.7971166345049120e-02,1.6974377576717548e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,19,2.7891801770164228e-02,4.0172073630548845e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,20,2.7728702711483335e-02,5.7017335076018603e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,21,2.7650823755624131e-02,5.1393375669836330e-02,9.3023018742373453e-02,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,22,2.7378557632505979e-02,1.3500460727925329e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,23,2.6956209049490334e-02,1.6397849822625171e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,24,2.6789374268349188e-02,8.7097711088458221e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,25,2.6734742649104613e-02,4.5268680148513450e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,26,2.6719513632168408e-02,1.7739263218043914e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,27,2.6706861499032550e-02,1.4429957344936855e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,28,2.6689222358150719e-02,1.0120427360353321e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,29,2.6614677600849797e-02,1.1954307065516158e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,30,2.6590182449137745e-02,3.1322855556056989e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,31,2.6568219629713077e-02,4.7216837832850106e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,32,2.6540560264406751e-02,2.7118873742340899e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,33,2.6505607246487737e-02,1.3096158213137107e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,34,2.6411765183106631e-02,1.8086023255393928e-02,2.1667923626265093e+00,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,35,2.6351535352411196e-02,1.1630446507320574e-02,1.0201126000527033e-01,3.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,36,2.6341435718477760e-02,1.9628738886694991e-02,4.9174399462925615e-02,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,37,2.6327256067063810e-02,3.2800659864776691e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,38,2.6288197748650623e-02,1.8992138792481867e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,39,2.6205139245425398e-02,1.3048697209764955e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,40,2.6137301976824366e-02,4.2193963304908544e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 4,summary,2.6137301976824366e-02,4.2193963304908544e-02,6.7837268601031453e-05,2.5954197055680019e-03,reached max_it = 40
# section,medium_uncons — refinement 5
medium_uncons — refinement 5,0,1.4768855404310582e-01,4.6106256417230235e-01,NaN,NaN,NaN
medium_uncons — refinement 5,1,1.4132256519809866e-01,2.0297109142858480e-01,2.4326678010581715e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,2,1.3550129391988208e-01,1.2054450019605114e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,3,1.3416908842498901e-01,3.4727221917486484e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,4,1.3283774356742520e-01,1.8032095766650993e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,5,1.2793560027730208e-01,2.9651628553120096e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,6,1.2361999458923704e-01,9.5661258020599582e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,7,1.1285045611628594e-01,7.0090267101252379e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,8,1.1187146879409590e-01,4.9667060408840630e-01,2.0523542213357870e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,9,1.1133164307730177e-01,2.4517503602032059e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,10,1.1078163843611234e-01,1.1240676045683856e-01,2.1168282259750244e+00,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,11,1.0835973616226269e-01,1.0384081356802503e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,12,1.0529734655575762e-01,1.6511815256911280e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,13,1.0174293872754975e-01,3.2841547967478785e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,14,1.0162869747114413e-01,1.8208192438099652e-01,4.6955171937401098e-02,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,15,1.0149202408683786e-01,5.3355565010762093e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,16,1.0104617862681704e-01,5.1846396976764984e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,17,1.0026726910920616e-01,1.3859611668365823e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,18,9.9510719209426890e-02,1.2247255885428776e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,19,9.7236214902557960e-02,1.0771553740216980e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,20,9.6026113689806847e-02,2.8004566376244677e-01,4.1176416176255998e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,21,9.5725962214777222e-02,2.0115972191311879e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,22,9.5674182728660073e-02,4.5537346998161365e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,23,9.5536309839343719e-02,7.2313030863691660e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 5,24,9.5362484446048501e-02,4.8696443202183803e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
