# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,sign_uncons — refinement 1
sign_uncons — refinement 1,0,7.6855702581224614e+00,1.4500000000000000e+00,NaN,NaN,NaN
sign_uncons — refinement 4,3,3.8505176703706748e-02,4.7584063596962906e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,4,3.1541062694407977e-02,5.3562483124054128e-01,4.2095728615352396e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,5,2.7021415279309492e-02,2.9060797331102778e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,6,2.2864827851833486e-02,2.5073199980913508e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,7,2.2320492167667554e-02,1.3682637773019074e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,8,2.2255490672092558e-02,2.9362424491850642e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,9,2.2215117379054228e-02,3.1640973567605625e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,10,2.2008732450160245e-02,1.2731435381152245e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,11,2.1781562030618352e-02,2.5469549912107797e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,12,2.1569256338855751e-02,8.2458787775849404e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,13,2.1282717067657452e-02,5.0074201355937473e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,14,2.1191849768582429e-02,2.9362859266498575e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,15,2.0882681221236331e-02,2.7899502278016679e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,16,2.0724287524237814e-02,6.4949476907570344e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,17,2.0690710546508548e-02,4.6881339571162285e-02,4.4121818272221426e-02,2.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,18,2.0668904822142228e-02,2.4683711414656823e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,19,2.0602057563989792e-02,1.9651334978714415e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,20,2.0263107209254519e-02,1.2437847282900960e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,21,2.0228069500197586e-02,5.0053489869382226e-02,2.2175150010797873e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,22,2.0207749772949847e-02,1.4364865536560890e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,23,2.0206334569677353e-02,6.2902280907013745e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,24,2.0198035399554556e-02,1.8192877033217404e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,25,2.0195490166296261e-02,8.9202014760688345e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,26,2.0191381136432630e-02,1.2882433967584244e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,27,2.0184150603527025e-02,8.3396426689739886e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,28,2.0170158641556142e-02,1.6989117827966221e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,29,2.0163182085953846e-02,6.4580692462450785e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,30,2.0148643212281603e-02,6.2607073492479941e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,31,2.0130900907133504e-02,1.6972716480795437e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,32,1.9962595838593795e-02,3.6712911565754680e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,33,1.9959761847626128e-02,5.4046841514345162e-02,1.2684841087845828e-02,5.0000000000000000e+00,-2.0000000000000000e+00
sign_uncons — refinement 4,34,1.9957174410673108e-02,5.3609886895379780e-02,1.8078070756154748e-02,4.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 4,35,1.9951229283915364e-02,5.3525737887949072e-02,9.0209553229093659e-02,5.0000000000000000e+00,-2.0000000000000000e+00
sign_uncons — refinement 4,36,1.9950116154642039e-02,5.0777519315860165e-02,1.1904489919898516e-02,5.0000000000000000e+00,-2.0000000000000000e+00
sign_uncons — refinement 4,37,1.9948439369476684e-02,5.0297789126020724e-02,2.3693848633707694e-02,5.0000000000000000e+00,-2.0000000000000000e+00
sign_uncons — refinement 4,38,1.9948426128372134e-02,4.9473343647759821e-02,1.7683023121337646e-04,5.0000000000000000e+00,-2.0000000000000000e+00
sign_uncons — refinement 4,summary,1.9948426128372134e-02,4.9473343647759821e-02,1.3241104549616134e-08,6.6376687887089251e-07,|Δloss| 1.324e-08 < obj_change_tol 1.000e-06
